flight_id,date,pilot_id,aircraft_id,mission_type,duration_hours,fuel_used_lbs,status,notes
FL0001,2024-10-01,P020,A004,Transport,2.4,4927,Completed,Coastal transport operation
FL0002,2024-10-01,P017,A003,Reconnaissance,3.5,7039,Completed,Joint force reconnaissance exercise
FL0003,2024-10-01,P007,A003,Reconnaissance,3.0,6233,Completed,Routine reconnaissance mission
FL0004,2024-10-01,P004,A019,Combat,4.7,9760,Completed,Standard combat procedures
FL0005,2024-10-01,P002,A017,Transport,2.4,4387,Completed,Routine transport mission
FL0006,2024-10-01,P018,A010,Reconnaissance,4.5,8663,Completed,Standard reconnaissance procedures
FL0007,2024-10-01,P010,A006,Reconnaissance,3.9,7740,Completed,Coastal reconnaissance operation
FL0008,2024-10-01,P012,A003,Patrol,3.1,6308,Completed,Emergency patrol training
FL0009,2024-10-01,P001,A003,Transport,2.1,4237,Completed,transport systems check completed
FL0010,2024-10-01,P010,A018,Reconnaissance,4.0,7443,Completed,Weather-related reconnaissance mission
FL0011,2024-10-02,P019,A014,Training,2.0,3763,Completed,Emergency training training
FL0012,2024-10-02,P004,A007,Training,2.3,4557,Completed,Night training mission
FL0013,2024-10-02,P003,A013,Combat,3.7,7406,Completed,Routine combat mission
FL0014,2024-10-02,P006,A010,Transport,3.5,6347,Completed,Emergency transport training
FL0015,2024-10-02,P011,A008,Combat,4.5,9163,Completed,combat systems check completed
FL0016,2024-10-02,P010,A003,Patrol,3.1,5892,Completed,Successful patrol operation
FL0017,2024-10-02,P001,A017,Patrol,2.9,6002,Completed,Emergency patrol training
FL0018,2024-10-02,P002,A020,Reconnaissance,3.3,6403,Cancelled,Emergency reconnaissance training
FL0019,2024-10-02,P017,A014,Transport,2.2,4212,Completed,Successful transport operation
FL0020,2024-10-02,P004,A004,Reconnaissance,3.8,7471,Completed,Successful reconnaissance operation
FL0021,2024-10-03,P001,A011,Patrol,2.8,5085,Completed,Routine patrol mission
FL0022,2024-10-03,P013,A005,Transport,3.0,5943,Cancelled,Coastal transport operation
FL0023,2024-10-03,P019,A016,Reconnaissance,4.2,8791,Completed,Emergency reconnaissance training
FL0024,2024-10-03,P014,A004,Patrol,3.9,7457,Completed,Night patrol mission
FL0025,2024-10-03,P001,A003,Patrol,3.4,6272,Completed,Night patrol mission
FL0026,2024-10-03,P011,A014,Reconnaissance,3.5,7219,Completed,Night reconnaissance mission
FL0027,2024-10-03,P017,A002,Training,1.6,3355,Completed,Successful training operation
FL0028,2024-10-03,P009,A009,Patrol,3.9,7806,Cancelled,Coastal patrol operation
FL0029,2024-10-03,P009,A001,Transport,2.2,4068,Completed,Successful transport operation
FL0030,2024-10-03,P017,A009,Combat,4.9,9638,Cancelled,Weather-related combat mission
FL0031,2024-10-04,P011,A006,Training,2.0,3691,Cancelled,Weather-related training mission
FL0032,2024-10-04,P013,A008,Training,1.8,3713,Completed,Night training mission
FL0033,2024-10-04,P007,A006,Combat,4.1,8206,Completed,Night combat mission
FL0034,2024-10-04,P018,A009,Patrol,3.9,7660,Completed,Advanced patrol training
FL0035,2024-10-04,P001,A011,Transport,2.7,5104,Completed,Coastal transport operation
FL0036,2024-10-04,P009,A014,Reconnaissance,3.5,6982,Completed,Joint force reconnaissance exercise
FL0037,2024-10-04,P005,A004,Training,2.1,4243,Completed,Joint force training exercise
FL0038,2024-10-04,P005,A003,Patrol,2.6,5225,Completed,Weather-related patrol mission
FL0039,2024-10-04,P009,A013,Transport,2.2,4082,Completed,Joint force transport exercise
FL0040,2024-10-04,P011,A005,Training,1.6,3345,Completed,Advanced training training
FL0041,2024-10-05,P019,A006,Transport,3.0,5899,Completed,Routine transport mission
FL0042,2024-10-05,P011,A001,Patrol,3.4,6255,Completed,Coastal patrol operation
FL0043,2024-10-05,P012,A008,Training,2.5,4966,Completed,training systems check completed
FL0044,2024-10-05,P018,A020,Patrol,2.7,5029,Cancelled,Advanced patrol training
FL0045,2024-10-05,P008,A008,Training,2.1,3910,Completed,Weather-related training mission
FL0046,2024-10-05,P020,A014,Training,2.2,4297,Cancelled,Successful training operation
FL0047,2024-10-05,P019,A015,Patrol,2.9,5571,Completed,Night patrol mission
FL0048,2024-10-05,P015,A016,Training,2.5,4622,Completed,training systems check completed
FL0049,2024-10-05,P011,A012,Patrol,3.0,6099,Completed,patrol systems check completed
FL0050,2024-10-05,P008,A006,Transport,3.1,5816,Completed,Joint force transport exercise
FL0051,2024-10-06,P003,A003,Patrol,2.6,5427,Completed,Weather-related patrol mission
FL0052,2024-10-06,P019,A013,Training,1.7,3454,Completed,Emergency training training
FL0053,2024-10-06,P015,A014,Patrol,2.6,5066,Cancelled,Emergency patrol training
FL0054,2024-10-06,P015,A002,Transport,2.9,5916,Completed,Coastal transport operation
FL0055,2024-10-06,P005,A003,Combat,4.9,9968,Completed,Successful combat operation
FL0056,2024-10-06,P007,A015,Transport,3.0,5749,Completed,Successful transport operation
FL0057,2024-10-06,P014,A020,Combat,4.7,8864,Completed,Night combat mission
FL0058,2024-10-06,P008,A004,Transport,3.1,5986,Completed,Emergency transport training
FL0059,2024-10-06,P015,A007,Training,2.0,3709,Completed,Advanced training training
FL0060,2024-10-06,P016,A004,Training,2.3,4436,Completed,Routine training mission
FL0061,2024-10-07,P008,A018,Patrol,3.3,6086,Completed,Emergency patrol training
FL0062,2024-10-07,P015,A012,Training,2.3,4382,Completed,Weather-related training mission
FL0063,2024-10-07,P005,A013,Transport,3.2,6465,Completed,Advanced transport training
FL0064,2024-10-07,P010,A014,Reconnaissance,3.4,7052,Completed,Weather-related reconnaissance mission
FL0065,2024-10-07,P010,A009,Reconnaissance,3.0,5695,Completed,reconnaissance systems check completed
FL0066,2024-10-07,P014,A012,Training,1.8,3398,Completed,Routine training mission
FL0067,2024-10-07,P002,A006,Training,2.3,4500,Completed,Routine training mission
FL0068,2024-10-07,P014,A017,Combat,4.1,8213,Cancelled,Night combat mission
FL0069,2024-10-07,P012,A019,Patrol,3.0,5435,Completed,Emergency patrol training
FL0070,2024-10-07,P006,A005,Reconnaissance,3.7,7539,Completed,Weather-related reconnaissance mission
FL0071,2024-10-08,P019,A010,Transport,2.9,5563,Completed,Night transport mission
FL0072,2024-10-08,P017,A002,Transport,2.0,3838,Cancelled,Weather-related transport mission
FL0073,2024-10-08,P018,A016,Training,1.8,3376,Cancelled,Coastal training operation
FL0074,2024-10-08,P004,A015,Combat,3.6,6625,Completed,Standard combat procedures
FL0075,2024-10-08,P009,A003,Combat,3.6,6964,Completed,Coastal combat operation
FL0076,2024-10-08,P005,A019,Reconnaissance,4.5,9247,Completed,Successful reconnaissance operation
FL0077,2024-10-08,P007,A018,Training,1.7,3223,Completed,Standard training procedures
FL0078,2024-10-08,P014,A007,Patrol,3.0,5422,Completed,Routine patrol mission
FL0079,2024-10-08,P014,A018,Transport,2.6,5021,Completed,Routine transport mission
FL0080,2024-10-08,P007,A018,Transport,3.3,6596,Cancelled,Coastal transport operation
FL0081,2024-10-09,P012,A003,Combat,4.0,7525,Completed,Advanced combat training
FL0082,2024-10-09,P002,A003,Transport,3.1,6076,Cancelled,Successful transport operation
FL0083,2024-10-09,P005,A009,Training,1.8,3647,Completed,Routine training mission
FL0084,2024-10-09,P015,A017,Patrol,3.9,7225,Completed,Coastal patrol operation
FL0085,2024-10-09,P012,A018,Combat,4.4,8229,Completed,Joint force combat exercise
FL0086,2024-10-09,P019,A007,Reconnaissance,4.2,7956,Completed,Successful reconnaissance operation
FL0087,2024-10-09,P007,A017,Training,1.9,3596,Completed,Emergency training training
FL0088,2024-10-09,P012,A016,Combat,4.7,9768,Cancelled,Joint force combat exercise
FL0089,2024-10-09,P006,A005,Combat,4.2,8426,Completed,Emergency combat training
FL0090,2024-10-09,P019,A009,Combat,4.2,8747,Completed,Successful combat operation
FL0091,2024-10-10,P017,A001,Reconnaissance,3.1,5805,Cancelled,Advanced reconnaissance training
FL0092,2024-10-10,P012,A007,Combat,3.5,7151,Completed,Routine combat mission
FL0093,2024-10-10,P016,A011,Combat,4.9,9621,Completed,Advanced combat training
FL0094,2024-10-10,P014,A005,Transport,3.5,6918,Completed,Successful transport operation
FL0095,2024-10-10,P007,A009,Transport,2.2,4530,Completed,Advanced transport training
FL0096,2024-10-10,P011,A017,Training,2.4,4794,Completed,Routine training mission
FL0097,2024-10-10,P015,A019,Patrol,3.9,7174,Completed,Successful patrol operation
FL0098,2024-10-10,P007,A005,Combat,4.3,8636,Cancelled,Coastal combat operation
FL0099,2024-10-10,P014,A012,Combat,4.6,9176,Cancelled,Emergency combat training
FL0100,2024-10-10,P020,A015,Transport,2.8,5277,Cancelled,Successful transport operation
FL0101,2024-10-11,P009,A017,Transport,2.2,4084,Completed,Night transport mission
FL0102,2024-10-11,P006,A019,Reconnaissance,3.6,6860,Completed,Emergency reconnaissance training
FL0103,2024-10-11,P013,A015,Training,2.2,4207,Completed,Joint force training exercise
FL0104,2024-10-11,P004,A020,Patrol,3.5,6775,Completed,Successful patrol operation
FL0105,2024-10-11,P002,A011,Reconnaissance,2.8,5063,Cancelled,Advanced reconnaissance training
FL0106,2024-10-11,P008,A004,Patrol,3.1,6086,Completed,patrol systems check completed
FL0107,2024-10-11,P014,A005,Training,1.7,3545,Completed,Joint force training exercise
FL0108,2024-10-11,P006,A006,Training,2.0,4181,Completed,Advanced training training
FL0109,2024-10-11,P010,A009,Patrol,3.9,8162,Completed,Night patrol mission
FL0110,2024-10-11,P019,A020,Patrol,3.4,7110,Completed,Coastal patrol operation
FL0111,2024-10-12,P014,A020,Transport,2.8,5872,Completed,Night transport mission
FL0112,2024-10-12,P007,A007,Training,2.7,4995,Completed,Successful training operation
FL0113,2024-10-12,P017,A009,Transport,3.5,6500,Completed,Emergency transport training
FL0114,2024-10-12,P006,A020,Training,2.0,3914,Completed,Weather-related training mission
FL0115,2024-10-12,P013,A004,Training,2.1,4191,Completed,Weather-related training mission
FL0116,2024-10-12,P003,A009,Transport,3.0,6068,Completed,Standard transport procedures
FL0117,2024-10-12,P005,A014,Training,2.7,5001,Completed,Weather-related training mission
FL0118,2024-10-12,P017,A001,Transport,2.0,3963,Completed,transport systems check completed
FL0119,2024-10-12,P007,A009,Reconnaissance,4.2,7925,Cancelled,Successful reconnaissance operation
FL0120,2024-10-12,P013,A003,Patrol,3.8,7375,Completed,Successful patrol operation
FL0121,2024-10-13,P009,A012,Patrol,3.0,5722,Completed,patrol systems check completed
FL0122,2024-10-13,P009,A017,Patrol,2.6,4714,Completed,Emergency patrol training
FL0123,2024-10-13,P020,A016,Patrol,3.8,7679,Cancelled,Joint force patrol exercise
FL0124,2024-10-13,P002,A020,Patrol,2.7,4944,Completed,Standard patrol procedures
FL0125,2024-10-13,P019,A012,Training,1.6,3081,Completed,Coastal training operation
FL0126,2024-10-13,P008,A012,Combat,3.8,6958,Cancelled,Joint force combat exercise
FL0127,2024-10-13,P006,A014,Reconnaissance,3.4,6185,Completed,Routine reconnaissance mission
FL0128,2024-10-13,P008,A011,Training,2.2,3985,Completed,Coastal training operation
FL0129,2024-10-13,P016,A006,Patrol,2.8,5393,Completed,Weather-related patrol mission
FL0130,2024-10-13,P004,A005,Transport,3.2,5977,Completed,Advanced transport training
FL0131,2024-10-14,P013,A019,Training,2.6,5273,Cancelled,Coastal training operation
FL0132,2024-10-14,P007,A019,Training,2.1,4337,Completed,Routine training mission
FL0133,2024-10-14,P020,A001,Combat,4.7,9510,Completed,Standard combat procedures
FL0134,2024-10-14,P003,A009,Training,2.5,4504,Completed,Advanced training training
FL0135,2024-10-14,P019,A010,Combat,3.9,7292,Completed,Emergency combat training
FL0136,2024-10-14,P001,A003,Reconnaissance,3.8,7443,Completed,Weather-related reconnaissance mission
FL0137,2024-10-14,P009,A009,Reconnaissance,3.5,6645,Completed,Coastal reconnaissance operation
FL0138,2024-10-14,P004,A006,Patrol,2.8,5133,Completed,Coastal patrol operation
FL0139,2024-10-14,P006,A014,Reconnaissance,3.4,7102,Cancelled,Standard reconnaissance procedures
FL0140,2024-10-14,P005,A002,Patrol,2.9,5764,Cancelled,Night patrol mission
FL0141,2024-10-15,P011,A013,Training,2.7,5616,Completed,Standard training procedures
FL0142,2024-10-15,P003,A010,Reconnaissance,4.4,9061,Completed,Emergency reconnaissance training
FL0143,2024-10-15,P009,A003,Patrol,3.6,6876,Completed,Coastal patrol operation
FL0144,2024-10-15,P006,A007,Reconnaissance,4.4,8489,Completed,Standard reconnaissance procedures
FL0145,2024-10-15,P014,A011,Training,2.3,4766,Completed,Advanced training training
FL0146,2024-10-15,P015,A019,Reconnaissance,3.9,7245,Completed,reconnaissance systems check completed
FL0147,2024-10-15,P015,A002,Reconnaissance,4.4,8627,Completed,Weather-related reconnaissance mission
FL0148,2024-10-15,P015,A008,Reconnaissance,3.5,6471,Completed,Joint force reconnaissance exercise
FL0149,2024-10-15,P006,A015,Patrol,3.4,6278,Completed,Weather-related patrol mission
FL0150,2024-10-15,P018,A014,Combat,3.7,6925,Completed,Emergency combat training
FL0151,2024-10-16,P007,A011,Reconnaissance,3.7,6714,Completed,Routine reconnaissance mission
FL0152,2024-10-16,P004,A019,Transport,3.3,6359,Completed,Successful transport operation
FL0153,2024-10-16,P008,A018,Training,1.9,3989,Completed,Standard training procedures
FL0154,2024-10-16,P006,A001,Patrol,2.8,5632,Completed,Joint force patrol exercise
FL0155,2024-10-16,P015,A020,Transport,2.9,5741,Completed,transport systems check completed
FL0156,2024-10-16,P015,A013,Transport,3.5,6675,Completed,transport systems check completed
FL0157,2024-10-16,P001,A013,Reconnaissance,2.8,5570,Completed,Emergency reconnaissance training
FL0158,2024-10-16,P011,A011,Patrol,3.6,7498,Completed,Standard patrol procedures
FL0159,2024-10-16,P018,A015,Patrol,3.5,7343,Completed,Weather-related patrol mission
FL0160,2024-10-16,P017,A002,Patrol,3.9,7338,Completed,patrol systems check completed
